Name,Mileage,Dealer Name,Rating,Review Count,Price
2020 Subaru Ascent Limited 7-Passenger,"24,605 mi.",Wilsonville Subaru,4.9,"1,642 ","$37,991"
2023 Jeep Grand Cherokee Altitude,950 mi.,AutoNation Chrysler Dodge Jeep Ram Katy,4.3,"1,481 ","$42,299"
2020 BMW X4 M40i,"36,964 mi.",BMW of Vista,4.6,750 ,"$51,998"
2019 BMW 640 Gran Turismo i xDrive,"26,717 mi.",BMW Encinitas,4.5,"1,228 ","$43,385"
2020 BMW X6 M Base,"18,927 mi.",BMW of Palm Springs,4.8,600 ,"$97,500"
2021 Buick Enclave Avenir,"10,636 mi.",Terry Labonte Chevrolet,4.6,534 ,"$47,300"
2021 Chevrolet Traverse RS,"14,351 mi.",Dublin Nissan Chevrolet Buick GMC,2.7,45 ,"$43,580"
2020 BMW 430 i xDrive,"19,348 mi.",Zeigler BMW of Kalamazoo,n/a,13 ,"$37,990"
2022 Toyota Prius Nightshade,"9,479 mi.",AutoNation Toyota Winter Park,4.6,"5,331 ","$35,352"
2021 BMW X3 M AWD,"20,424 mi.",BMW of San Antonio,4.1,959 ,"$66,262"
2020 Cadillac CT5 Premium Luxury RWD,"33,033 mi.",Findlay Cadillac,4.5,222 ,"$36,843"
2021 INFINITI QX50 LUXE,"39,598 mi.",Evans Infiniti of Dayton,n/a,72 ,"$39,989"
2021 Toyota RAV4 Prime XSE,"7,551 mi.",Mark McLarty Toyota,3.4,"1,246 ","$56,495"
2020 BMW X3 M Competition,"48,569 mi.",BMW of Palm Springs,4.8,600 ,"$58,988"
2020 Volvo S90 Hybrid T8 R-Design,"36,555 mi.",Ken Pollock Volvo Cars,4.6,645 ,"$50,990"
2019 Cadillac CT6 3.6L Premium Luxury,"29,209 mi.",Jake Sweeney Buick GMC,2.2,138 ,"$44,998"
2021 GMC Sierra 3500 Denali,"15,694 mi.",Holz Motors,4.4,433 ,"$81,590"
2022 INFINITI QX55 LUXE,"7,710 mi.",Sewell INFINITI of North Houston,4.9,157 ,"$44,999"
2021 Chevrolet Suburban Z71,"48,404 mi.",Chevrolet of Bend,3.2,452 ,"$67,490"
2020 Acura ILX Base,"1,552 mi.",Ron Tonkin Acura,4.7,142 ,"$30,995"
2020 GMC Yukon Denali,"55,083 mi.",Laura Buick GMC,4.3,"2,716 ","$57,495"
2021 Jeep Grand Cherokee Laredo E,"38,276 mi.",Hebert's Town & Country Chrysler Dodge Jeep RAM,4.8,"1,791 ","$33,000"
2023 Kia Carnival SX Prestige,"3,686 mi.",Jake Sweeney Kia Fiat,4.4,110 ,"$57,000"
2019 Cadillac CT6 3.6L Premium Luxury,"29,209 mi.",Jake Sweeney Buick GMC,2.2,138 ,"$44,998"
2020 BMW M340 i,"45,638 mi.",BMW Certified Pre-Owned Nashville,4.6,666 ,"$43,698"
2021 Toyota Venza ,"13,234 mi.",Steve's Hometown Toyota,4.0,146 ,"$42,971"
2021 Chrysler Pacifica Touring-L,"47,940 mi.",Woody's Dodge Jeep Chrysler RAM,4.6,"1,821 ","$32,947"
2018 INFINITI Q60 3.0t LUXE,"23,128 mi.",INFINITI Milwaukee,4.9,62 ,"$38,992"
2021 Cadillac CT4 Sport,"5,949 mi.",Key Chevrolet Buick GMC Cadillac of Burlington,4.4,168 ,"$41,185"
2023 Volkswagen Atlas Cross Sport 3.6 V6 SEL R-Line Black,"4,117 mi.",Paramount Volvo VW Porsche,4.9,"1,690 ","$49,955"
2020 Ford Transit-150 XLT,"62,994 mi.",Pacifico Ford,4.7,"4,455 ","$51,999"
2019 Kia Niro Plug-In Hybrid LX,"33,969 mi.",Seelye Kia of Kalamazoo,4.7,406 ,"$25,988"
2022 Toyota Avalon Hybrid XLE,"13,195 mi.",Performance Toyota,3.6,"1,004 ","$39,888"
2022 Jeep Wagoneer Series II,"1,320 mi.",Lithia Chrysler Jeep of Reno,4.7,"1,252 ","$69,980"
2021 BMW 430 i xDrive,"30,086 mi.",Nalley BMW,4.0,631 ,"$48,900"
2020 Porsche Cayenne E-Hybrid Coupe Turbo S,"22,959 mi.",Porsche West Palm Beach,4.1,253 ,"$146,500"
2021 Kia K5 GT-Line,"19,321 mi.",Jack Daniels Kia,4.6,"1,318 ","$37,695"
2022 Kia Carnival SX,"14,497 mi.",Gene Messer KIA,4.5,563 ,"$54,999"
2022 Cadillac XT6 Premium Luxury AWD,"5,522 mi.",Uftring Weston Chevrolet Cadillac,n/a,210 ,"$68,998"
2022 Ford Explorer ST,"11,889 mi.",Bison Ford,4.5,23 ,"$57,071"
2020 Cadillac CT4 V-Series,"22,142 mi.",Ed Morse Delray Cadillac,4.9,"2,261 ","$42,995"
2020 Volvo XC60 T5 Inscription,"12,957 mi.",Rickenbaugh Cadillac Volvo Cars,4.6,"2,659 ","$43,500"
2019 Kia Stinger Base,"13,656 mi.",Kia Delray,4.8,"2,797 ","$28,995"
2022 Toyota Camry SE,"14,182 mi.",Handy Toyota Inc,4.8,"4,335 ","$32,335"
2019 Volkswagen Arteon 2.0T SEL Premium,"6,839 mi.",Broadway Ashland,4.5,580 ,"$37,700"
2020 Volvo XC60 T5 Inscription,"12,957 mi.",Rickenbaugh Cadillac Volvo Cars,4.6,"2,659 ","$43,500"
2019 Volkswagen Tiguan 2.0T SE,"41,570 mi.",Don Thornton Volkswagen of Tulsa,3.8,281 ,"$24,829"
2022 Chevrolet Colorado Z71,"2,722 mi.",All American Chevrolet of Odessa,4.6,308 ,"$41,987"
2017 Honda Accord Touring,"64,490 mi.",Basney Honda,4.7,"2,001 ","$24,980"
2019 Nissan Altima 2.5 SR,"37,721 mi.",Steven Nissan,4.6,150 ,"$22,459"
2022 Nissan Titan XD PRO-4X,"1,555 mi.",Planet Nissan,4.6,"3,897 ","$54,987"
2022 Chevrolet Traverse High Country,"15,118 mi.",Reliable Chevrolet,3.4,352 ,"$49,945"
2022 Ford Explorer ST,"11,889 mi.",Bison Ford,4.5,23 ,"$57,071"
2019 BMW 740 i xDrive,"39,966 mi.",BMW of Gwinnett Place,4.8,890 ,"$43,481"
2017 Acura NSX Base,"15,017 mi.",Ed Martin Acura,4.7,446 ,"$139,777"
2019 BMW 740 i xDrive,"31,876 mi.",Moses of St. Albans,4.7,687 ,"$45,495"
