Rank,Name,Year,Rating
1,Rocketry: The Nambi Effect,2022,8.5
2,Anbe Sivam,2003,8.4
3,Hanky Panky,1979,8.4
4,Nayakan,1987,8.4
5,Jai Bhim,2021,8.4
6,Pariyerum Perumal,2018,8.4
7,3 Idiots,2009,8.4
8,The World of Apu,1959,8.3
9,Manichitrathazhu,1993,8.3
10,Kumbalangi Nights,2019,8.3
11,Black Friday,2004,8.3
12,777 Charlie,2022,8.3
13,Soorarai Pottru,2020,8.3
14,C/o Kancharapalem,2018,8.3
15,#Home,2021,8.3
16,Like Stars on Earth,2007,8.3
17,Kireedam,1989,8.3
18,Dangal,2016,8.3
19,Kaithi,2019,8.3
20,Jersey,2019,8.3
21,96,2018,8.2
22,Asuran,2019,8.2
23,Thevar Magan,1992,8.2
24,Visaaranai,2015,8.2
25,Sarpatta Parambarai,2021,8.2
26,Thalapathi,1991,8.2
27,Pather Panchali,1955,8.2
28,Natsamrat,2016,8.2
29,Drishyam 2,2021,8.2
30,Thani Oruvan,2015,8.2
31,Sardar Udham,2021,8.2
32,Vada Chennai,2018,8.2
33,The Unvanquished,1956,8.2
34,Jaane Bhi Do Yaaro,1983,8.2
35,Khosla Ka Ghosla!,2006,8.2
36,Drishyam,2013,8.1
37,Chupke Chupke,1975,8.1
38,Peranbu,2018,8.1
39,Agent Sai Srinivasa Athreya,2019,8.1
40,Anniyan,2005,8.1
41,Mahanati,2018,8.1
42,Raatchasan,2018,8.1
43,Bangalore Days,2014,8.1
44,Satya,1998,8.1
45,Premam,2015,8.1
46,Super Deluxe,2019,8.1
47,Vikram,2022,8.1
48,Gangs of Wasseypur,2012,8.1
49,Devasuram,1993,8.1
50,Bhaag Milkha Bhaag,2013,8.1
51,Andhadhun,2018,8.1
52,Drishyam,2015,8.1
53,Aruvi,2016,8.1
54,Kannathil Muthamittal,2002,8.1
55,Chithram,1988,8.1
56,Vikram Vedha,2017,8.1
57,Guide,1965,8.1
58,Shahid,2012,8.1
59,Zindagi Na Milegi Dobara,2011,8.1
60,Iruvar,1997,8.1
61,Sairat,2016,8.1
62,Tumbbad,2018,8.1
63,Paan Singh Tomar,2012,8.1
64,Chhichhore,2019,8.1
65,Mudhalvan,1999,8.1
66,Spadikam,1995,8.1
67,Dhuruvangal Pathinaaru,2016,8.1
68,"Swades: We, the People",2004,8.1
69,Chakde! India,2007,8.1
70,Black,2005,8.1
71,Jo Jeeta Wohi Sikandar,1992,8.1
72,Pudhu Pettai,2006,8.1
73,Mandela,2021,8.1
74,Papanasam,2015,8.1
75,Uri: The Surgical Strike,2019,8.1
76,Munna Bhai M.B.B.S.,2003,8.1
77,Pyaasa,1957,8.1
78,Article 15,2019,8.0
79,Queen,2013,8.0
80,Soodhu Kavvum,2013,8.0
81,Talvar,2015,8.0
82,Kaakkaa Muttai,2014,8.0
83,Lagaan: Once Upon a Time in India,2001,8.0
