Rank,Name,Year,Rating
1,The Shawshank Redemption,1994,9.3
2,The Godfather,1972,9.2
3,The Dark Knight,2008,9.0
4,The Godfather: Part II,1974,9.0
5,12 Angry Men,1957,9.0
6,Schindler's List,1993,9.0
7,The Lord of the Rings: The Return of the King,2003,8.9
8,Pulp Fiction,1994,8.9
9,The Lord of the Rings: The Fellowship of the Ring,2001,8.8
10,Forrest Gump,1994,8.8
11,Fight Club,1999,8.8
12,Inception,2010,8.8
13,The Lord of the Rings: The Two Towers,2002,8.8
14,Star Wars: Episode V - The Empire Strikes Back,1980,8.7
15,The Matrix,1999,8.7
16,Goodfellas,1990,8.7
17,One Flew Over the Cuckoo's Nest,1975,8.7
18,It's a Wonderful Life,1946,8.6
19,Seven,1995,8.6
20,The Silence of the Lambs,1991,8.6
21,Saving Private Ryan,1998,8.6
22,Interstellar,2014,8.6
23,The Green Mile,1999,8.6
24,Star Wars,1977,8.6
25,Terminator 2: Judgment Day,1991,8.6
26,Back to the Future,1985,8.5
27,The Pianist,2002,8.5
28,Psycho,1960,8.5
29,Leon,1994,8.5
30,The Lion King,1994,8.5
31,Gladiator,2000,8.5
32,American History X,1998,8.5
33,The Usual Suspects,1995,8.5
34,The Departed,2006,8.5
35,The Prestige,2006,8.5
36,Modern Times,1936,8.5
37,Casablanca,1942,8.5
38,Whiplash,2014,8.5
39,Rear Window,1954,8.5
40,Alien,1979,8.5
41,Apocalypse Now,1979,8.4
42,Memento,2000,8.4
43,Top Gun: Maverick,2022,8.4
44,Raiders of the Lost Ark,1981,8.4
45,Django Unchained,2012,8.4
46,Sunset Blvd.,1950,8.4
47,Witness for the Prosecution,1957,8.4
48,WALL·E,2008,8.4
49,Paths of Glory,1957,8.4
50,The Great Dictator,1940,8.4
51,Avengers: Infinity War,2018,8.4
52,The Shining,1980,8.4
53,Aliens,1986,8.4
54,Spider-Man: Into the Spider-Verse,2018,8.4
55,The Dark Knight Rises,2012,8.4
